IncomeBucket,Year-1,GII,Year,Country,Code,Country-1,Country-2,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Agriculture-1,Arable-1,Area-1,Birthrate-1,EducationIndexBucket,Date,GIvsEI,Climate-1,Coastline-1,Country (Sheet1),Country-3,Country-4,Crops-1,Deathrate-1,EI,GDP-1,GII-1,HDI Rank (2015),HDI Rank,Industry-1,Infant mortality-1,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Population-1,Region-1,Service-1,Year-2,Year-3
L,1995,,1995,Ethiopia,ETH,Ethiopia,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.34,0,0,95.32,700,42.7,8.16,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426,0.475,10.71,1127127,37.98,,1/1/1995,,2,0,Ethiopia,Ethiopia,Ethiopia,0.75,14.86,,700,,174,174,0.099,95.32,42.7,0,1,88.54,8.16,66.34,74777981,SUB-SAHARAN AFRICA,0.426,1995,1995
LM,1995,0.499,1995,Fiji,FJI,Fiji,Fiji,OCEANIA,905949,18270,49.59,6.18,-3.14,12.62,5800,93.7,112.59,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776,0.089,10.95,18270,22.55,Upper-Medium (0.659 - 0.780),1/1/1995,0.731671554,2,6.18,Fiji,Fiji,Fiji,4.65,5.65,0.682,5800,0.499,91,91,0.135,12.62,93.7,-3.14,1,84.4,112.59,49.59,905949,OCEANIA,0.776,1995,1995
H,1995,0.103,1995,Finland,FIN,Finland,Finland,WESTERN EUROPE,5231372,338145,15.47,0.37,0.95,3.57,27400,100,405.25,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676,0.028,7.19,338145,10.45,Upper-Medium (0.659 - 0.780),1/1/1995,0.13900135,3,0.37,Finland,Finland,Finland,0.03,9.86,0.741,27400,0.103,23,23,0.295,3.57,100,0.95,1,92.78,405.25,15.47,5231372,WESTERN EUROPE,0.676,1995,1995
H,1995,0.22,1995,France,FRA,France,France,WESTERN EUROPE,60876136,547030,111.28,0.63,0.66,4.26,27600,99,586.44,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764,0.022,33.53,547030,11.99,Upper-Medium (0.659 - 0.780),1/1/1995,0.301783265,4,0.63,France,France,France,2.07,9.14,0.729,27600,0.22,21,21,0.214,4.26,99,0.66,1,64.4,586.44,111.28,60876136,WESTERN EUROPE,0.764,1995,1995
UM,1995,0.606,1995,Gabon,GAB,Gabon,Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.32,0.33,0,53.64,5500,63.2,27.44,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348,0.061,1.26,267667,36.16,Low-Medium (0.498 - 0.659),1/1/1995,1.190569745,2,0.33,Gabon,Gabon,Gabon,0.66,12.25,0.509,5500,0.606,109,109,0.592,53.64,63.2,0,1,98.08,27.44,5.32,1424906,SUB-SAHARAN AFRICA,0.348,1995,1995
L,1995,0.426,1995,Georgia,GEO,Georgia,Georgia,C.W. OF IND. STATES,4661473,69700,66.88,0.44,-4.7,18.59,2500,99,146.56,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,0.172,11.44,69700,10.41,,1/1/1995,,3,0.44,Georgia,Georgia,Georgia,3.86,9.23,,2500,0.426,70,70,0.275,18.59,99,-4.7,1,84.7,146.56,66.88,4661473,C.W. OF IND. STATES,0.553,1995,1995
H,1995,0.156,1995,Germany,DEU,Germany,Germany,WESTERN EUROPE,82422299,357021,230.86,0.67,2.18,4.16,27600,99,667.85,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695,0.009,33.85,357021,8.25,Upper-Medium (0.659 - 0.780),1/1/1995,0.205533597,3,0.67,Germany,Germany,Germany,0.59,10.62,0.759,27600,0.156,4,4,0.296,4.16,99,2.18,1,65.56,667.85,230.86,82422299,WESTERN EUROPE,0.695,1995,1995
L,1995,0.626,1995,Ghana,GHA,Ghana,Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.58,0.23,-0.64,51.43,2200,74.8,14.35,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,0.366,16.26,239460,30.52,"Low (
0.206 - 0.498)",1/1/1995,1.55721393,2,0.23,Ghana,Ghana,Ghana,9.67,9.72,0.402,2200,0.626,139,139,0.246,51.43,74.8,-0.64,1,74.07,14.35,93.58,22409572,SUB-SAHARAN AFRICA,0.387,1995,1995
UM,1995,0.283,1995,Greece,GRC,Greece,Greece,WESTERN EUROPE,10688058,131940,81.01,10.37,2.35,5.53,20000,97.5,589.72,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,0.054,21.1,131940,9.68,Low-Medium (0.498 - 0.659),1/1/1995,0.442879499,3,10.37,Greece,Greece,Greece,8.78,10.24,0.639,20000,0.283,29,29,0.213,5.53,97.5,2.35,1,70.12,589.72,81.01,10688058,WESTERN EUROPE,0.733,1995,1995
LM,1995,0.596,1995,Guatemala,GTM,Guatemala,Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.09,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585,0.227,12.54,108890,29.88,"Low (
0.206 - 0.498)",1/1/1995,1.916398714,2,0.37,Guatemala,Guatemala,Guatemala,5.03,5.2,0.311,4100,0.596,125,125,0.188,35.93,70.6,-1.67,1,82.43,92.09,112.9,12293545,LATIN AMER. & CARIB,0.585,1995,1995
