Income Bucket,Year-1,GII,Year,Date,Country,Code,Country-1
H,2005,null,2005,1/1/05,Qatar,QAT,Qatar
UM,2005,0.355,2005,1/1/05,Romania,ROU,Romania
UM,2005,0.359,2005,1/1/05,Russian Federation,RUS,Russian Federation
L,2005,0.484,2005,1/1/05,Rwanda,RWA,Rwanda
LM,2005,0.493,2005,1/1/05,Samoa,WSM,Samoa
H,2005,0.672,2005,1/1/05,Saudi Arabia,SAU,Saudi Arabia
L,2005,0.629,2005,1/1/05,Senegal,SEN,Senegal
..,2005,null,2005,1/1/05,Serbia,SRB,Serbia
L,2005,0.669,2005,1/1/05,Sierra Leone,SLE,Sierra Leone
H,2005,0.167,2005,1/1/05,Singapore,SGP,Singapore
H,2005,0.139,2005,1/1/05,Slovenia,SVN,Slovenia
UM,2005,0.426,2005,1/1/05,South Africa,ZAF,South Africa
H,2005,0.118,2005,1/1/05,Spain,ESP,Spain
L,2005,0.665,2005,1/1/05,Sudan,SDN,Sudan
LM,2005,0.492,2005,1/1/05,Suriname,SUR,Suriname
LM,2005,0.619,2005,1/1/05,Swaziland,SWZ,Swaziland
H,2005,0.053,2005,1/1/05,Sweden,SWE,Sweden
H,2005,0.073,2005,1/1/05,Switzerland,CHE,Switzerland
LM,2005,0.54,2005,1/1/05,Syrian Arab Republic,SYR,Syrian Arab Republic
L,2005,0.345,2005,1/1/05,Tajikistan,TJK,Tajikistan
L,2005,0.592,2005,1/1/05,Tanzania,TZA,Tanzania
LM,2005,0.348,2005,1/1/05,Thailand,THA,Thailand
L,2005,0.633,2005,1/1/05,Togo,TGO,Togo
LM,2005,0.476,2005,1/1/05,Tonga,TON,Tonga
UM,2005,0.353,2005,1/1/05,Trinidad and Tobago,TTO,Trinidad and Tobago
LM,2005,0.336,2005,1/1/05,Tunisia,TUN,Tunisia
UM,2005,0.564,2005,1/1/05,Turkey,TUR,Turkey
LM,2005,null,2005,1/1/05,Turkmenistan,TKM,Turkmenistan
L,2005,0.592,2005,1/1/05,Uganda,UGA,Uganda
LM,2005,0.37,2005,1/1/05,Ukraine,UKR,Ukraine
