IncomeBucket,Year-1,GII,Year,Country,Code,Region,EducationIndexBucket,Date,GIvsEI,Country-3,Country-4,EI,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Year-2,Year-3,FedPercent,GDPPercent,Year-4,HDI Rank (2015),Country-1,Region-1
H,1995,0.198,1995,Italy,ITA,WESTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,0.301829268,Italy,Italy,0.656,98.6,2.07,1,62.68,430.89,192.99,1995,1995,10,4.3,1995,26,Italy,WESTERN EUROPE
LM,1995,0.48,1995,Jamaica,JAM,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.849557522,Jamaica,Jamaica,0.565,87.9,-4.92,1,73.77,124,250.94,1995,1995,12.3,3.7,1995,94,Jamaica,LATIN AMER. & CARIB
H,1995,0.159,1995,Japan,JPN,ASIA (EX. NEAR EAST),Upper-Medium (0.659 - 0.780),1/1/95,0.216326531,Japan,Japan,0.735,99,0,1,86.85,461.15,337.35,1995,1995,7.7,3.5,1995,17,Japan,ASIA (EX. NEAR EAST)
LM,1995,0.449,1995,Kazakhstan,KAZ,C.W. OF IND. STATES,Low-Medium (0.498 - 0.659),1/1/95,0.699376947,Kazakhstan,Kazakhstan,0.642,98.4,-3.35,1,91.97,164.11,5.61,1995,1995,11.4,4,1995,56,Kazakhstan,C.W. OF IND. STATES
L,1995,0.708,1995,Kenya,KEN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.801526718,Kenya,Kenya,0.393,85.1,-0.1,1,90.94,8.12,59.57,1995,1995,3,null,1995,146,Kenya,SUB-SAHARAN AFRICA
H,1995,0.585,1995,Kuwait,KWT,NEAR EAST,Low-Medium (0.498 - 0.659),1/1/95,1.13592233,Kuwait,Kuwait,0.515,83.5,14.18,1,99.16,211.01,135.71,1995,1995,0.1,null,1995,51,Kuwait,NEAR EAST
LM,1995,0.41,1995,Latvia,LVA,BALTICS,Low-Medium (0.498 - 0.659),1/1/95,0.658105939,Latvia,Latvia,0.623,99.8,-2.23,1,69.86,321.36,35.22,1995,1995,9,null,1995,44,Latvia,BALTICS
LM,1995,,1995,Lebanon,LBN,NEAR EAST,,1/1/95,,Lebanon,Lebanon,,87.4,0,1,69.4,255.55,372.5,1995,1995,2.3,2.2,1995,76,Lebanon,NEAR EAST
LM,1995,0.577,1995,Lesotho,LSO,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.341860465,Lesotho,Lesotho,0.43,84.8,-0.74,1,89,23.73,66.62,1995,1995,11.2,10.1,1995,160,Lesotho,SUB-SAHARAN AFRICA
L,1995,,1995,Liberia,LBR,SUB-SAHARAN AFRICA,,1/1/95,,Liberia,Liberia,,57.5,0,1,93.77,2.27,27.31,1995,1995,null,null,1995,177,Liberia,SUB-SAHARAN AFRICA
LM,1995,0.325,1995,Lithuania,LTU,BALTICS,Upper-Medium (0.659 - 0.780),1/1/95,0.491679274,Lithuania,Lithuania,0.661,99.6,-0.71,1,53.87,223.4,55,1995,1995,17.5,4.8,1995,37,Lithuania,BALTICS
H,1995,0.2,1995,Luxembourg,LUX,WESTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,0.312989045,Luxembourg,Luxembourg,0.639,100,8.97,1,76.32,515.37,183.45,1995,1995,20,3.5,1995,20,Luxembourg,WESTERN EUROPE
L,1995,0.719,1995,Malawi,MWI,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.872395833,Malawi,Malawi,0.384,62.7,0,1,75.13,7.89,109.84,1995,1995,5.7,4,1995,170,Malawi,SUB-SAHARAN AFRICA
UM,1995,0.398,1995,Malaysia,MYS,ASIA (EX. NEAR EAST),Low-Medium (0.498 - 0.659),1/1/95,0.742537313,Malaysia,Malaysia,0.536,88.7,0,1,76.91,179.04,73.95,1995,1995,10.3,4.3,1995,59,Malaysia,ASIA (EX. NEAR EAST)
LM,1995,0.649,1995,Maldives,MDV,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,1.833333333,Maldives,Maldives,0.354,97.2,0,1,70,89.97,1196.69,1995,1995,6.3,null,1995,105,Maldives,ASIA (EX. NEAR EAST)
L,1995,0.726,1995,Mali,MLI,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,6.368421053,Mali,Mali,0.114,46.4,-0.33,1,96.15,6.4,9.45,1995,1995,12.2,null,1995,175,Mali,SUB-SAHARAN AFRICA
UM,1995,0.331,1995,Malta,MLT,WESTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,0.532154341,Malta,Malta,0.622,92.8,2.07,1,68.74,504.98,1266.5,1995,1995,5.8,null,1995,33,Malta,WESTERN EUROPE
L,1995,0.809,1995,Mauritania,MRT,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,3.356846473,Mauritania,Mauritania,0.241,41.7,0,1,99.51,12.9,3.08,1995,1995,0.7,null,1995,157,Mauritania,SUB-SAHARAN AFRICA
UM,1995,0.479,1995,Mauritius,MUS,SUB-SAHARAN AFRICA,Low-Medium (0.498 - 0.659),1/1/95,0.921153846,Mauritius,Mauritius,0.52,85.6,-0.9,1,47.78,289.32,608.25,1995,1995,7.6,null,1995,64,Mauritius,SUB-SAHARAN AFRICA
UM,1995,0.508,1995,Mexico,MEX,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.994129159,Mexico,Mexico,0.511,92.2,-4.87,1,85.7,181.59,54.47,1995,1995,13.9,3.9,1995,77,Mexico,LATIN AMER. & CARIB
L,1995,0.5,1995,Mongolia,MNG,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,1.054852321,Mongolia,Mongolia,0.474,97.8,0,1,99.23,55.08,1.81,1995,1995,7.9,null,1995,92,Mongolia,ASIA (EX. NEAR EAST)
LM,1995,0.713,1995,Morocco,MAR,NORTHERN AFRICA,"Low (
0.206 - 0.498)",1/1/95,2.416949153,Morocco,Morocco,0.295,51.7,-0.98,1,78.22,40.35,74.44,1995,1995,0.7,5,1995,123,Morocco,NORTHERN AFRICA
L,1995,0.664,1995,Mozambique,MOZ,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,4.176100629,Mozambique,Mozambique,0.159,47.8,0,1,94.6,3.54,24.56,1995,1995,25.2,null,1995,181,Mozambique,SUB-SAHARAN AFRICA
LM,1995,0.555,1995,Namibia,NAM,SUB-SAHARAN AFRICA,Low-Medium (0.498 - 0.659),1/1/95,1.051136364,Namibia,Namibia,0.528,84,0,1,99.01,62.57,2.48,1995,1995,17.3,null,1995,125,Namibia,SUB-SAHARAN AFRICA
L,1995,0.71,1995,Nepal,NPL,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,2.37458194,Nepal,Nepal,0.299,45.2,0,1,77.68,15.86,192.19,1995,1995,4.5,null,1995,144,Nepal,ASIA (EX. NEAR EAST)
H,1995,0.113,1995,Netherlands,NLD,WESTERN EUROPE,High (0.780 - 0.939),1/1/95,0.138310894,Netherlands,Netherlands,0.817,99,2.91,1,72.32,460.84,397.14,1995,1995,28.4,4.7,1995,7,Netherlands,WESTERN EUROPE
L,1995,0.629,1995,Nicaragua,NIC,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/95,1.58040201,Nicaragua,Nicaragua,0.398,67.5,-1.22,1,82.12,39.66,43.01,1995,1995,10.8,null,1995,124,Nicaragua,LATIN AMER. & CARIB
L,1995,0.831,1995,Niger,NER,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,8.567010309,Niger,Niger,0.097,17.6,-0.67,1,96.45,1.92,9.89,1995,1995,1.2,2.9,1995,187,Niger,SUB-SAHARAN AFRICA
H,1995,0.122,1995,Norway,NOR,WESTERN EUROPE,High (0.780 - 0.939),1/1/95,0.147699758,Norway,Norway,0.826,100,1.74,1,97.13,461.74,14.24,1995,1995,36.4,7.7,1995,1,Norway,WESTERN EUROPE
UM,1995,,1995,Oman,OMN,NEAR EAST,,1/1/95,,Oman,Oman,,75.8,0.28,1,99.74,85.49,14.6,1995,1995,null,3.4,1995,52,Oman,NEAR EAST
L,1995,0.766,1995,Pakistan,PAK,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,3.301724138,Pakistan,Pakistan,0.232,45.7,-2.77,1,71.26,31.83,206.24,1995,1995,2.6,2.8,1995,147,Pakistan,ASIA (EX. NEAR EAST)
LM,1995,0.517,1995,Panama,PAN,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.896013865,Panama,Panama,0.577,92.6,-0.91,1,90.66,137.91,40.81,1995,1995,9.7,4.8,1995,60,Panama,LATIN AMER. & CARIB
LM,1995,0.575,1995,Paraguay,PRY,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/95,1.197916667,Paraguay,Paraguay,0.48,94,-0.08,1,92.17,49.23,16,1995,1995,5.6,null,1995,110,Paraguay,LATIN AMER. & CARIB
LM,1995,0.547,1995,Peru,PER,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,0.941480207,Peru,Peru,0.581,90.9,-1.05,1,96.71,79.52,22.02,1995,1995,10.8,null,1995,87,Peru,LATIN AMER. & CARIB
LM,1995,0.483,1995,Philippines,PHL,ASIA (EX. NEAR EAST),Low-Medium (0.498 - 0.659),1/1/95,0.901119403,Philippines,Philippines,0.536,92.6,-1.5,1,64.28,38.42,298.23,1995,1995,11.6,3,1995,116,Philippines,ASIA (EX. NEAR EAST)
LM,1995,0.258,1995,Poland,POL,EASTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.362359551,Poland,Poland,0.712,99.8,-0.49,1,52.97,306.28,123.25,1995,1995,12.7,4.4,1995,36,Poland,EASTERN EUROPE
H,1995,0.243,1995,Portugal,PRT,WESTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,0.384493671,Portugal,Portugal,0.632,93.3,3.57,1,70.44,399.21,114.79,1995,1995,13,4.6,1995,41,Portugal,WESTERN EUROPE
H,1995,,1995,Qatar,QAT,NEAR EAST,Low-Medium (0.498 - 0.659),1/1/95,,Qatar,Qatar,0.562,82.5,16.29,1,98.09,232,77.41,1995,1995,null,null,1995,33,Qatar,NEAR EAST
LM,1995,0.474,1995,Romania,ROU,EASTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,0.782178218,Romania,Romania,0.606,98.4,-0.13,1,56.93,196.87,93.91,1995,1995,5.6,null,1995,50,Romania,EASTERN EUROPE
L,1995,0.583,1995,Rwanda,RWA,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,2.439330544,Rwanda,Rwanda,0.239,70.4,0,1,47.3,2.66,328.36,1995,1995,17.1,null,1995,159,Rwanda,SUB-SAHARAN AFRICA
LM,1995,,1995,Samoa,WSM,OCEANIA,Low-Medium (0.498 - 0.659),1/1/95,,Samoa,Samoa,0.604,99.7,-11.7,1,54.42,75.18,60.09,1995,1995,4.1,null,1995,104,Samoa,OCEANIA
L,1995,0.628,1995,Senegal,SEN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,3.108910891,Senegal,Senegal,0.202,40.2,0.2,1,87.01,22.24,61.1,1995,1995,11.7,null,1995,162,Senegal,SUB-SAHARAN AFRICA
..,1995,,1995,Serbia,SRB,EASTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,,Serbia,Serbia,0.648,93,-1.33,1,63.45,285.79,106.34,1995,1995,null,null,1995,66,Serbia,EASTERN EUROPE
H,1995,0.252,1995,Singapore,SGP,ASIA (EX. NEAR EAST),Low-Medium (0.498 - 0.659),1/1/95,0.445229682,Singapore,Singapore,0.566,92.5,11.53,1,98.36,411.38,6482.18,1995,1995,4.8,null,1995,5,Singapore,ASIA (EX. NEAR EAST)
UM,1995,0.247,1995,Slovenia,SVN,EASTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.341160221,Slovenia,Slovenia,0.724,99.7,1.12,1,89.91,406.1,99.16,1995,1995,7.8,4.9,1995,25,Slovenia,EASTERN EUROPE
H,1995,0.157,1995,Spain,ESP,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.227866473,Spain,Spain,0.689,97.9,0.99,1,64.06,453.54,80.03,1995,1995,19.9,4.4,1995,27,Spain,WESTERN EUROPE
L,1995,0.72,1995,Sudan,SDN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,3.636363636,Sudan,Sudan,0.198,61.1,-0.02,1,92.99,16.25,16.46,1995,1995,null,null,1995,181,Sudan,SUB-SAHARAN AFRICA
L,1995,0.72,1995,Sudan,SDN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,3.636363636,Sudan,Sudan,0.198,61.1,-0.02,1,92.99,16.25,16.46,1995,1995,5.3,null,1995,181,Sudan,SUB-SAHARAN AFRICA
L,1995,0.72,1995,Sudan,SDN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,3.636363636,Sudan,Sudan,0.198,61.1,-0.02,1,92.99,16.25,16.46,1995,1995,null,null,1995,165,Sudan,SUB-SAHARAN AFRICA
L,1995,0.72,1995,Sudan,SDN,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,3.636363636,Sudan,Sudan,0.198,61.1,-0.02,1,92.99,16.25,16.46,1995,1995,5.3,null,1995,165,Sudan,SUB-SAHARAN AFRICA
